snowfall,date,season,continent,region,resort,day_of_year
2,2019-11-15 00:00:00+00:00,2019,Europe,tuscany,abetone,319
0,2019-11-18 00:00:00+00:00,2019,Europe,tuscany,abetone,322
0,2019-11-22 00:00:00+00:00,2019,Europe,tuscany,abetone,326
0,2019-11-26 00:00:00+00:00,2019,Europe,tuscany,abetone,330
0,2019-11-28 00:00:00+00:00,2019,Europe,tuscany,abetone,332
0,2019-12-02 00:00:00+00:00,2019,Europe,tuscany,abetone,336
0,2019-12-03 00:00:00+00:00,2019,Europe,tuscany,abetone,337
0,2019-12-06 00:00:00+00:00,2019,Europe,tuscany,abetone,340
0,2019-12-09 00:00:00+00:00,2019,Europe,tuscany,abetone,343
0,2019-12-10 00:00:00+00:00,2019,Europe,tuscany,abetone,344
0,2019-12-11 00:00:00+00:00,2019,Europe,tuscany,abetone,345
4,2019-12-12 00:00:00+00:00,2019,Europe,tuscany,abetone,346
2,2019-12-13 00:00:00+00:00,2019,Europe,tuscany,abetone,347
0,2019-12-14 00:00:00+00:00,2019,Europe,tuscany,abetone,348
0,2019-12-16 00:00:00+00:00,2019,Europe,tuscany,abetone,350
0,2019-12-17 00:00:00+00:00,2019,Europe,tuscany,abetone,351
0,2019-12-18 00:00:00+00:00,2019,Europe,tuscany,abetone,352
0,2019-12-19 00:00:00+00:00,2019,Europe,tuscany,abetone,353
0,2019-12-20 00:00:00+00:00,2019,Europe,tuscany,abetone,354
0,2019-12-21 00:00:00+00:00,2019,Europe,tuscany,abetone,355
0,2019-12-23 00:00:00+00:00,2019,Europe,tuscany,abetone,357
0,2019-12-24 00:00:00+00:00,2019,Europe,tuscany,abetone,358
0,2019-12-27 00:00:00+00:00,2019,Europe,tuscany,abetone,361
0,2019-12-28 00:00:00+00:00,2019,Europe,tuscany,abetone,362
0,2019-12-30 00:00:00+00:00,2019,Europe,tuscany,abetone,364
0,2019-12-31 00:00:00+00:00,2019,Europe,tuscany,abetone,365
0,2020-01-02 00:00:00+00:00,2019,Europe,tuscany,abetone,2
0,2020-01-03 00:00:00+00:00,2019,Europe,tuscany,abetone,3
0,2020-01-04 00:00:00+00:00,2019,Europe,tuscany,abetone,4
0,2020-01-07 00:00:00+00:00,2019,Europe,tuscany,abetone,7
0,2020-01-08 00:00:00+00:00,2019,Europe,tuscany,abetone,8
0,2020-01-09 00:00:00+00:00,2019,Europe,tuscany,abetone,9
0,2020-01-10 00:00:00+00:00,2019,Europe,tuscany,abetone,10
0,2020-01-11 00:00:00+00:00,2019,Europe,tuscany,abetone,11
0,2020-01-13 00:00:00+00:00,2019,Europe,tuscany,abetone,13
0,2020-01-14 00:00:00+00:00,2019,Europe,tuscany,abetone,14
0,2020-01-15 00:00:00+00:00,2019,Europe,tuscany,abetone,15
0,2020-01-16 00:00:00+00:00,2019,Europe,tuscany,abetone,16
0,2020-01-17 00:00:00+00:00,2019,Europe,tuscany,abetone,17
4,2020-01-18 00:00:00+00:00,2019,Europe,tuscany,abetone,18
0,2020-01-20 00:00:00+00:00,2019,Europe,tuscany,abetone,20
0,2020-01-21 00:00:00+00:00,2019,Europe,tuscany,abetone,21
0,2020-01-22 00:00:00+00:00,2019,Europe,tuscany,abetone,22
0,2020-01-23 00:00:00+00:00,2019,Europe,tuscany,abetone,23
4,2020-01-24 00:00:00+00:00,2019,Europe,tuscany,abetone,24
0,2020-01-25 00:00:00+00:00,2019,Europe,tuscany,abetone,25
0,2020-01-27 00:00:00+00:00,2019,Europe,tuscany,abetone,27
0,2020-01-28 00:00:00+00:00,2019,Europe,tuscany,abetone,28
0,2020-01-29 00:00:00+00:00,2019,Europe,tuscany,abetone,29
0,2020-01-30 00:00:00+00:00,2019,Europe,tuscany,abetone,30
0,2020-01-31 00:00:00+00:00,2019,Europe,tuscany,abetone,31
0,2020-02-01 00:00:00+00:00,2019,Europe,tuscany,abetone,32
0,2020-02-03 00:00:00+00:00,2019,Europe,tuscany,abetone,34
0,2020-02-04 00:00:00+00:00,2019,Europe,tuscany,abetone,35
0,2020-02-05 00:00:00+00:00,2019,Europe,tuscany,abetone,36
0,2020-02-06 00:00:00+00:00,2019,Europe,tuscany,abetone,37
0,2020-02-07 00:00:00+00:00,2019,Europe,tuscany,abetone,38
0,2020-02-08 00:00:00+00:00,2019,Europe,tuscany,abetone,39
0,2020-02-10 00:00:00+00:00,2019,Europe,tuscany,abetone,41
0,2020-02-11 00:00:00+00:00,2019,Europe,tuscany,abetone,42
0,2020-02-12 00:00:00+00:00,2019,Europe,tuscany,abetone,43
0,2020-02-13 00:00:00+00:00,2019,Europe,tuscany,abetone,44
