snowpack,date,season,continent,region,resort,day_of_year
31,2019-11-18 00:00:00+00:00,2019,Europe,tuscany,abetone,322
31,2019-11-22 00:00:00+00:00,2019,Europe,tuscany,abetone,326
24,2019-11-26 00:00:00+00:00,2019,Europe,tuscany,abetone,330
24,2019-11-28 00:00:00+00:00,2019,Europe,tuscany,abetone,332
24,2019-12-02 00:00:00+00:00,2019,Europe,tuscany,abetone,336
24,2019-12-03 00:00:00+00:00,2019,Europe,tuscany,abetone,337
24,2019-12-06 00:00:00+00:00,2019,Europe,tuscany,abetone,340
24,2019-12-09 00:00:00+00:00,2019,Europe,tuscany,abetone,343
24,2019-12-10 00:00:00+00:00,2019,Europe,tuscany,abetone,344
24,2019-12-11 00:00:00+00:00,2019,Europe,tuscany,abetone,345
24,2019-12-12 00:00:00+00:00,2019,Europe,tuscany,abetone,346
24,2019-12-13 00:00:00+00:00,2019,Europe,tuscany,abetone,347
31,2019-12-14 00:00:00+00:00,2019,Europe,tuscany,abetone,348
31,2019-12-16 00:00:00+00:00,2019,Europe,tuscany,abetone,350
31,2019-12-17 00:00:00+00:00,2019,Europe,tuscany,abetone,351
31,2019-12-18 00:00:00+00:00,2019,Europe,tuscany,abetone,352
31,2019-12-19 00:00:00+00:00,2019,Europe,tuscany,abetone,353
31,2019-12-20 00:00:00+00:00,2019,Europe,tuscany,abetone,354
24,2019-12-21 00:00:00+00:00,2019,Europe,tuscany,abetone,355
24,2019-12-23 00:00:00+00:00,2019,Europe,tuscany,abetone,357
24,2019-12-24 00:00:00+00:00,2019,Europe,tuscany,abetone,358
24,2019-12-27 00:00:00+00:00,2019,Europe,tuscany,abetone,361
24,2019-12-28 00:00:00+00:00,2019,Europe,tuscany,abetone,362
24,2019-12-30 00:00:00+00:00,2019,Europe,tuscany,abetone,364
24,2019-12-31 00:00:00+00:00,2019,Europe,tuscany,abetone,365
24,2020-01-02 00:00:00+00:00,2019,Europe,tuscany,abetone,2
24,2020-01-03 00:00:00+00:00,2019,Europe,tuscany,abetone,3
24,2020-01-04 00:00:00+00:00,2019,Europe,tuscany,abetone,4
24,2020-01-07 00:00:00+00:00,2019,Europe,tuscany,abetone,7
24,2020-01-08 00:00:00+00:00,2019,Europe,tuscany,abetone,8
24,2020-01-09 00:00:00+00:00,2019,Europe,tuscany,abetone,9
24,2020-01-10 00:00:00+00:00,2019,Europe,tuscany,abetone,10
24,2020-01-11 00:00:00+00:00,2019,Europe,tuscany,abetone,11
24,2020-01-13 00:00:00+00:00,2019,Europe,tuscany,abetone,13
24,2020-01-14 00:00:00+00:00,2019,Europe,tuscany,abetone,14
24,2020-01-15 00:00:00+00:00,2019,Europe,tuscany,abetone,15
24,2020-01-16 00:00:00+00:00,2019,Europe,tuscany,abetone,16
24,2020-01-17 00:00:00+00:00,2019,Europe,tuscany,abetone,17
28,2020-01-18 00:00:00+00:00,2019,Europe,tuscany,abetone,18
28,2020-01-20 00:00:00+00:00,2019,Europe,tuscany,abetone,20
28,2020-01-21 00:00:00+00:00,2019,Europe,tuscany,abetone,21
28,2020-01-22 00:00:00+00:00,2019,Europe,tuscany,abetone,22
28,2020-01-23 00:00:00+00:00,2019,Europe,tuscany,abetone,23
28,2020-01-24 00:00:00+00:00,2019,Europe,tuscany,abetone,24
31,2020-01-25 00:00:00+00:00,2019,Europe,tuscany,abetone,25
31,2020-01-27 00:00:00+00:00,2019,Europe,tuscany,abetone,27
28,2020-01-28 00:00:00+00:00,2019,Europe,tuscany,abetone,28
28,2020-01-29 00:00:00+00:00,2019,Europe,tuscany,abetone,29
28,2020-01-30 00:00:00+00:00,2019,Europe,tuscany,abetone,30
28,2020-01-31 00:00:00+00:00,2019,Europe,tuscany,abetone,31
28,2020-02-01 00:00:00+00:00,2019,Europe,tuscany,abetone,32
24,2020-02-03 00:00:00+00:00,2019,Europe,tuscany,abetone,34
24,2020-02-04 00:00:00+00:00,2019,Europe,tuscany,abetone,35
24,2020-02-05 00:00:00+00:00,2019,Europe,tuscany,abetone,36
24,2020-02-06 00:00:00+00:00,2019,Europe,tuscany,abetone,37
24,2020-02-07 00:00:00+00:00,2019,Europe,tuscany,abetone,38
24,2020-02-08 00:00:00+00:00,2019,Europe,tuscany,abetone,39
24,2020-02-10 00:00:00+00:00,2019,Europe,tuscany,abetone,41
24,2020-02-11 00:00:00+00:00,2019,Europe,tuscany,abetone,42
24,2020-02-12 00:00:00+00:00,2019,Europe,tuscany,abetone,43
24,2020-02-13 00:00:00+00:00,2019,Europe,tuscany,abetone,44
24,2020-02-14 00:00:00+00:00,2019,Europe,tuscany,abetone,45
24,2020-02-15 00:00:00+00:00,2019,Europe,tuscany,abetone,46
20,2020-02-17 00:00:00+00:00,2019,Europe,tuscany,abetone,48
20,2020-02-18 00:00:00+00:00,2019,Europe,tuscany,abetone,49
20,2020-02-19 00:00:00+00:00,2019,Europe,tuscany,abetone,50
20,2020-02-20 00:00:00+00:00,2019,Europe,tuscany,abetone,51
20,2020-02-21 00:00:00+00:00,2019,Europe,tuscany,abetone,52
20,2020-02-22 00:00:00+00:00,2019,Europe,tuscany,abetone,53
20,2020-02-24 00:00:00+00:00,2019,Europe,tuscany,abetone,55
20,2020-02-25 00:00:00+00:00,2019,Europe,tuscany,abetone,56
20,2020-02-26 00:00:00+00:00,2019,Europe,tuscany,abetone,57
20,2020-02-27 00:00:00+00:00,2019,Europe,tuscany,abetone,58
24,2020-02-28 00:00:00+00:00,2019,Europe,tuscany,abetone,59
24,2020-02-29 00:00:00+00:00,2019,Europe,tuscany,abetone,60
20,2020-03-02 00:00:00+00:00,2019,Europe,tuscany,abetone,62
24,2020-03-03 00:00:00+00:00,2019,Europe,tuscany,abetone,63
24,2020-03-04 00:00:00+00:00,2019,Europe,tuscany,abetone,64
24,2020-03-05 00:00:00+00:00,2019,Europe,tuscany,abetone,65
24,2020-03-06 00:00:00+00:00,2019,Europe,tuscany,abetone,66
28,2020-03-07 00:00:00+00:00,2019,Europe,tuscany,abetone,67
28,2020-03-09 00:00:00+00:00,2019,Europe,tuscany,abetone,69
28,2020-03-10 00:00:00+00:00,2019,Europe,tuscany,abetone,70
8,2018-11-29 00:00:00+00:00,2018,Europe,tuscany,abetone,333
8,2018-12-01 00:00:00+00:00,2018,Europe,tuscany,abetone,335
8,2018-12-03 00:00:00+00:00,2018,Europe,tuscany,abetone,337
8,2018-12-04 00:00:00+00:00,2018,Europe,tuscany,abetone,338
8,2018-12-05 00:00:00+00:00,2018,Europe,tuscany,abetone,339
8,2018-12-06 00:00:00+00:00,2018,Europe,tuscany,abetone,340
8,2018-12-07 00:00:00+00:00,2018,Europe,tuscany,abetone,341
8,2018-12-10 00:00:00+00:00,2018,Europe,tuscany,abetone,344
8,2018-12-11 00:00:00+00:00,2018,Europe,tuscany,abetone,345
8,2018-12-12 00:00:00+00:00,2018,Europe,tuscany,abetone,346
12,2018-12-13 00:00:00+00:00,2018,Europe,tuscany,abetone,347
12,2018-12-14 00:00:00+00:00,2018,Europe,tuscany,abetone,348
16,2018-12-15 00:00:00+00:00,2018,Europe,tuscany,abetone,349
16,2018-12-16 00:00:00+00:00,2018,Europe,tuscany,abetone,350
20,2018-12-17 00:00:00+00:00,2018,Europe,tuscany,abetone,351
